"Area","Boro","AreaType","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01"
"Northwest Brooklyn","Brooklyn","Submarket",162,156,165,175,180,169,164,174,172,162,155,158,148,149,147,154,152,147,147,156,162,148,147,156,158,166,170,172,169,158,152,150,143,139,132,118,116,114,114,106,99,94,98,94,93,89,84,81,80,78,77,82,78,68,63,61,66,65,65,63,66,68,70,75,79,68,71,78,70,65,68,65,60,61,61,59,60,50,52,57,51,45,38,39,41,48,53,56,42
"East Brooklyn","Brooklyn","Submarket",35,38,45,53,50,47,52,45,45,51,47,44,41,48,48,42,41,43,44,42,43,32,34,34,33,34,35,31,29,27,25,27,27,26,21,22,25,24,20,16,17,14,23,25,25,25,24,20,22,21,25,25,23,18,13,12,13,13,13,11,10,10,9,10,12,13,11,11,12,12,10,10,11,15,11,17,12,12,9,8,9,7,11,14,13,14,14,17,16
"Prospect Park","Brooklyn","Submarket",32,33,35,42,42,46,49,50,48,40,40,39,38,37,35,38,37,33,34,35,35,32,35,33,46,46,46,51,58,51,48,43,39,34,30,26,33,30,29,28,25,28,34,37,33,29,29,35,33,34,40,39,32,26,24,25,22,19,19,17,20,22,22,21,25,22,26,23,21,22,24,24,22,25,30,29,29,24,21,22,25,18,16,12,16,17,21,17,13
"South Brooklyn","Brooklyn","Submarket",32,29,68,75,82,92,92,100,110,110,113,118,132,146,150,154,156,157,84,81,78,74,77,82,94,91,87,82,81,79,83,77,74,76,76,81,82,88,90,90,90,90,72,75,77,70,80,82,79,84,80,82,77,81,71,77,67,63,60,62,62,58,60,90,85,84,90,87,79,68,64,64,67,74,75,79,75,67,68,62,55,44,43,49,52,54,51,47,46
"Queens","Queens","Borough",60,62,65,74,63,58,67,61,58,51,49,56,57,58,56,70,73,64,64,68,79,70,63,78,91,93,90,87,88,83,79,76,69,66,65,66,76,74,80,81,89,84,84,96,95,95,93,93,93,96,103,102,111,112,108,101,90,80,72,68,89,91,101,103,106,92,93,102,97,98,86,82,93,97,100,113,103,95,106,101,101,94,96,100,112,104,103,99,90
"Staten Island","Staten Island","Borough",4,4,4,4,1,2,3,3,3,3,3,2,2,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2,3,5,4,5,7,11,11,11,13,18,13,11,10,10,9,8,8,8,5,5,3,3,2,1,1,0,0,0,0,0,0,0,0,0
"Astoria","Queens","Neighborhood",4,4,3,3,4,4,7,6,10,10,11,9,9,6,6,8,8,6,4,3,3,3,3,3,3,1,0,2,2,2,2,3,3,3,3,4,5,5,6,6,6,4,3,5,5,4,3,3,2,0,0,0,0,1,2,2,2,2,2,2,3,4,5,6,7,3,2,3,3,3,3,3,2,3,1,3,3,3,4,2,2,1,1,2,5,3,2,1,1
"Bath Beach","Brooklyn","Neighborhood",0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Battery Park City","Manhattan","Neighborhood",16,16,18,19,19,19,18,15,15,15,19,15,15,17,9,9,7,18,23,23,22,22,23,25,36,36,33,28,25,23,21,21,18,16,14,13,13,14,18,18,17,20,20,24,20,19,16,15,15,13,14,12,12,12,10,8,7,6,4,4,5,5,6,7,9,10,10,6,6,4,3,3,4,6,6,8,10,8,8,9,8,9,10,6,7,5,7,6,5
"Bay Ridge","Brooklyn","Neighborhood",6,5,16,17,18,19,20,19,21,21,22,21,21,24,26,24,26,31,18,20,18,14,16,19,20,17,18,14,16,17,17,15,12,12,11,12,14,15,14,17,18,19,19,19,19,17,18,18,15,16,13,14,13,14,13,16,14,15,14,17,15,12,14,20,21,21,24,22,20,17,18,16,18,22,21,20,25,20,19,21,14,13,10,10,8,8,11,11,9
