"Month","PI_All_Upper_Manhattan","YoY","MoM"
2011-06-01,409560.264889761,-0.0601091860438863,-0.00419452595713921
2011-07-01,408237.543984512,-0.0594084562359141,-0.00322961238831543
2011-08-01,407288.811464967,-0.0572907014391298,-0.0023239717500857
2011-09-01,406815.392073764,-0.053647626027741,-0.00116236777902234
2011-10-01,406850.95697555,-0.0485867611201165,8.74227044462828e-05
2011-11-01,407421.215052135,-0.0417685716901502,0.00140163877412158
2011-12-01,408507.010086234,-0.0336582756839944,0.00266504294323444
2012-01-01,410193.872781328,-0.0237834028800481,0.00412933598064491
2012-02-01,412447.289812235,-0.0125226599107746,0.00549354142134706
2012-03-01,415053.013121048,-0.00106772100675134,0.00631771228269962
2012-04-01,418335.910839833,0.0123266942964277,0.00790958652269236
2012-05-01,421964.071200814,0.0259641082717907,0.00867283985660539
2012-06-01,426134.906333132,0.0404693591255303,0.00988433712009829
2012-07-01,430521.760923225,0.0545863977164196,0.0102945206433351
2012-08-01,435352.150455552,0.0689027987035635,0.0112198498909057
2012-09-01,440414.79918428,0.0825912877564456,0.0116288588983204
2012-10-01,445467.809726518,0.0949164604110522,0.011473298698403
2012-11-01,450778.764985242,0.106419470393948,0.0119221976150967
2012-12-01,455940.315965298,0.116113811288212,0.011450297531707
2013-01-01,461233.080937271,0.124427036927368,0.0116084601133968
2013-02-01,466434.504116896,0.130894821321867,0.0112772118796323
2013-03-01,471015.114716259,0.134831213907823,0.00982047974352862
2013-04-01,475917.971986718,0.137645513222342,0.0104091293830617
2013-05-01,480472.835719317,0.138658166682296,0.00957069075072958
2013-06-01,484969.637647187,0.138065974975683,0.00935911792211508
2013-07-01,489123.42559196,0.136117776121393,0.00856504742219433
2013-08-01,493221.164021366,0.132924607137603,0.00837771861866377
2013-09-01,497135.596380965,0.128789489594222,0.00793646470415577
2013-10-01,500778.597296784,0.12416337693227,0.00732798243042732
2013-11-01,504428.925046035,0.119016609095483,0.00728930463273625
2013-12-01,507890.743892093,0.113941290356849,0.00686284761672362
2014-01-01,511437.633761947,0.10884855163176,0.00698356863657912
2014-02-01,514997.58405106,0.104115539278357,0.00696067331402017
2014-03-01,518262.418199265,0.100309527246208,0.00633951352261453
2014-04-01,521973.276875606,0.0967715186224849,0.0071601924932827
2014-05-01,525697.792956842,0.0941259398563459,0.00713545356867651
2014-06-01,529722.930933708,0.0922806085420931,0.00765675266435251
2014-07-01,533825.651115328,0.0913925262713962,0.00774503035839613
2014-08-01,538316.193788137,0.0914296324981252,0.00841200242705997
2014-09-01,543096.617630535,0.0924516803547293,0.00888032702259589
2014-10-01,548023.558451282,0.094343011880953,0.00907194164132741
2014-11-01,553448.83694617,0.0971790265509878,0.00989971765122633
2014-12-01,559042.009571042,0.100713128353086,0.0101060337496321
2015-01-01,565184.443851778,0.105089665956901,0.0109874288078076
2015-02-01,571679.310911526,0.110062121873656,0.0114915885077884
2015-03-01,577762.95395112,0.114807737668098,0.0106417058016219
2015-04-01,584623.439344433,0.120025612889294,0.0118742216793182
2015-05-01,591249.998256852,0.12469560682632,0.0113347472346463
2015-06-01,597837.500078928,0.128585275750021,0.0111416521632095
2015-07-01,603744.32982586,0.130976618610308,0.0098803265873284
2015-08-01,609328.692316327,0.131915961933958,0.00924954854992532
2015-09-01,614398.804105514,0.131288216792919,0.00832081576515531
2015-10-01,618913.581372115,0.129355794705558,0.00734828459370851
2015-11-01,623640.675867696,0.126826247045404,0.00763772946313601
2015-12-01,628672.86365983,0.124553884854228,0.00806904999442604
2016-01-01,634165.805988277,0.122051062952804,0.00873736190308794
2016-02-01,639618.364916367,0.118841197692661,0.00859800209440897
2016-03-01,644433.638556589,0.115394530143428,0.00752835425676368
2016-04-01,649260.299580502,0.110561527106319,0.00748977200309398
2016-05-01,653664.714097871,0.10556400173367,0.00678374223745815
