"Month","PI_All_Upper_East_Side","YoY","MoM"
2008-05-01,908200.10747639,0.0411403584955248,-0.00224470332369131
2008-06-01,904815.774656817,0.0304471376692157,-0.00372641755017789
2008-07-01,900354.929750593,0.0188991311108533,-0.004930113986922
2008-08-01,894583.38092069,0.0059817458400524,-0.00641030402477205
2008-09-01,887709.777428144,-0.00766126204009265,-0.00768358057967877
2008-10-01,880139.166746281,-0.0212447504082504,-0.00852824974373567
2008-11-01,871523.671311516,-0.0353474136006764,-0.00978878768299174
2008-12-01,862596.749376748,-0.0487324575745576,-0.0102428909605348
2009-01-01,852955.817196609,-0.0619666461148818,-0.0111766386635526
2009-02-01,843090.661998792,-0.074307188559107,-0.0115658454974139
2009-03-01,834165.863899831,-0.0844354423937711,-0.0105858106384463
2009-04-01,824461.739655707,-0.0942402881516613,-0.0116333269725949
2009-05-01,815409.402830365,-0.102169889523425,-0.0109796930408469
2009-06-01,806571.240336113,-0.108579599375317,-0.0108389263890921
2009-07-01,798666.326781207,-0.11294279579005,-0.00980063900073036
2009-08-01,791280.625377073,-0.115475826789113,-0.00924754325614274
2009-09-01,784779.886254063,-0.115949935205499,-0.00821546606162904
2009-10-01,779363.105215504,-0.114500144225291,-0.00690229341174198
2009-11-01,774687.829680558,-0.111110971300681,-0.00599884123800476
2009-12-01,771061.411616856,-0.106116024464535,-0.0046811346774317
2010-01-01,768195.893829348,-0.0993719975389099,-0.00371632887385576
2010-02-01,766159.348936699,-0.0912491580439344,-0.00265107495237626
2010-03-01,764953.843699542,-0.0829715326358645,-0.00157343930976039
2010-04-01,764227.707838213,-0.0730586137843667,-0.000949254477651151
2010-05-01,764038.189769097,-0.0630005159162416,-0.000247986388314025
2010-06-01,764256.331704709,-0.0524627044894017,0.000285511821965123
2010-07-01,764756.926509034,-0.042457530930138,0.000655009037620502
2010-08-01,765473.174309076,-0.0326147895453639,0.000936569222473649
2010-09-01,766293.993649181,-0.0235555127350678,0.00107230320754925
2010-10-01,767100.151228026,-0.0157345836689146,0.00105202126798121
2010-11-01,767877.250712687,-0.00879138500301391,0.00101303523851093
2010-12-01,768522.115711806,-0.00329324729106262,0.000839802193020267
2011-01-01,769050.924574469,0.00111303738016377,0.000688085419861872
2011-02-01,769420.14137252,0.00425602381586265,0.000480094082527804
2011-03-01,769604.7061001,0.00607992552604975,0.000239875092497011
2011-04-01,769655.767634328,0.007102673379207,6.63477416693592e-05
2011-05-01,769573.02319292,0.00724418425405604,-0.000107508375676524
2011-06-01,769387.117868576,0.00671343625302079,-0.000241569440119549
2011-07-01,769148.001033682,0.00574179111353978,-0.000310788716552324
2011-08-01,768881.67006036,0.00445279582051983,-0.000346267523238963
2011-09-01,768647.478413749,0.00307125565915056,-0.000304587371152243
2011-10-01,768502.354377527,0.00182792709303592,-0.000188804413332355
2011-11-01,768487.577547807,0.000794823436367276,-1.92280864680372e-05
2011-12-01,768652.470331235,0.000169617265091349,0.000214567923081832
2012-01-01,769057.642997624,8.73599255934998e-06,0.000527120749658883
2012-02-01,769748.256016316,0.000426444053324815,0.000897999031647112
2012-03-01,770692.341974204,0.00141323963520845,0.00122648664743163
2012-04-01,772055.406048872,0.003117807356813,0.00176862283486123
2012-05-01,773755.191656019,0.00543440107313975,0.00220163681755126
2012-06-01,775937.4633861,0.00851371873195639,0.00282036457217183
2012-07-01,778485.347574528,0.012139856735371,0.00328362053471354
2012-08-01,781589.182258802,0.0165272664094653,0.00398701747431018
2012-09-01,785181.887587456,0.0215110432780306,0.00459666716249973
2012-10-01,789131.370914379,0.0268431403226612,0.00503002347527159
2012-11-01,793705.317883705,0.0328147663965708,0.00579617936621335
2012-12-01,798601.449877904,0.0389629653226287,0.00616870251953738
2013-01-01,804131.970063048,0.0456068896587671,0.00692525687999845
2013-02-01,810111.857874972,0.0524374060521426,0.00743645077493404
2013-03-01,815871.402442259,0.0586213953447685,0.00710956704472276
2013-04-01,822609.841952652,0.0654803211112804,0.00825919316478307
2013-05-01,829443.404170099,0.0719713587897144,0.00830717293781102
2013-06-01,836767.924899795,0.0783960878087246,0.00883064557855562
2013-07-01,844041.381648628,0.0842097211955861,0.00869232260510389
2013-08-01,851672.970669098,0.0896683193692032,0.00904172376662893
2013-09-01,859342.557392655,0.0944503063271933,0.00900531892838052
2013-10-01,866715.249245866,0.0983155418616661,0.00857945622474476
2013-11-01,874192.545878298,0.101406940562273,0.00862716634896898
2013-12-01,881210.007950209,0.103441532800792,0.00802736434324181
2014-01-01,888150.816458826,0.104483902547975,0.0078764522032182
2014-02-01,894692.638075698,0.104406298190217,0.00736566526274718
2014-03-01,900197.298301712,0.103356847178402,0.00615257127615809
2014-04-01,905788.524846378,0.101115594114802,0.00621111233638927
2014-05-01,910674.596364232,0.0979345809319077,0.00539427403176962
2014-06-01,915166.585444932,0.0936922391647894,0.00493259513182109
2014-07-01,918971.73158465,0.088775682762928,0.00415787267611845
2014-08-01,922388.231491881,0.0830310028122958,0.00371774211306786
2014-09-01,925351.746788392,0.0768135929355309,0.00321287197226972
2014-10-01,927905.64394459,0.0706003439445269,0.00275992039250084
2014-11-01,930354.429569445,0.0642442948706698,0.00263904594269393
2014-12-01,932679.890169447,0.0584081907319265,0.00249954267544972
2015-01-01,935231.477736951,0.0530097596102439,0.00273575917568003
2015-02-01,938123.100448544,0.0485423267439153,0.00309187915551168
2015-03-01,941116.114404334,0.0454553864800729,0.00319042773209555
2015-04-01,944930.139394265,0.0432127516238128,0.00405266144267924
2015-05-01,949158.235938351,0.0422583870547839,0.00447450702207086
2015-06-01,953946.407611247,0.0423746045617059,0.00504465060892878
2015-07-01,958791.639443285,0.043330938798271,0.0050791446913363
