"Month","PI_All_Upper_West_Side","YoY","MoM"
2006-05-01,816597.082952291,0.0570333177328382,0.00322296204626538
2006-06-01,819394.346265184,0.0532658894047044,0.00342551225235832
2006-07-01,822261.510436869,0.0503319518978032,0.0034991261347519
2006-08-01,825467.249402862,0.048118338374926,0.00389868542465321
2006-09-01,828989.246095448,0.0468049903406302,0.00426667041622042
2006-10-01,832755.364679737,0.0464411387127768,0.00454302465566037
2006-11-01,837044.331245228,0.0469974531179946,0.00515033195510006
2006-12-01,841598.341106077,0.0484151319230526,0.00544058383870083
2007-01-01,846731.643752741,0.0507295155964527,0.00609946858963339
2007-02-01,852274.173679162,0.0537977852451137,0.00654579283450007
2007-03-01,857596.883448653,0.0571051177196302,0.00624530219719466
2007-04-01,863767.905020234,0.0611742489478422,0.00719571361636184
2007-05-01,869937.418874404,0.0653202626309521,0.00714255972965994
2007-06-01,876423.063735477,0.0695986221167268,0.00745530048525178
2007-07-01,882688.617029572,0.0734889154188887,0.00714900548987085
2007-08-01,889019.648040665,0.0769896064123392,0.00717243984905869
2007-09-01,895063.009780232,0.0797040058070628,0.00679778197578274
2007-10-01,900500.62815758,0.0813507379852139,0.00607512355882345
2007-11-01,905554.333993361,0.0818475201262212,0.00561210695224235
2007-12-01,909766.339827113,0.0809982569968537,0.00465130106017742
2008-01-01,913288.491428159,0.0786044175465503,0.00387149034521861
2008-02-01,915867.182765484,0.0746156706964363,0.00282352330236102
2008-03-01,917342.963898785,0.0696668581745243,0.00161134841500088
2008-04-01,917841.417996172,0.0626019011144796,0.000543367221425006
2008-05-01,917223.657421202,0.0543559082766898,-0.000673058071751775
2008-06-01,915430.259500653,0.0445072675277625,-0.00195524603627251
2008-07-01,912608.450365702,0.0338962492082615,-0.00308249493139001
2008-08-01,908615.48652295,0.0220420758140414,-0.00437533077975749
2008-09-01,903586.636196759,0.00952293450113584,-0.00553462977550045
2008-10-01,897837.506320423,-0.00295737921094508,-0.0063625662952852
2008-11-01,891112.347379707,-0.0159482275900193,-0.00749039652874162
2008-12-01,883995.900466588,-0.0283264374953923,-0.00798602660376568
2009-01-01,876178.652229761,-0.0406332057687132,-0.00884308200151362
2009-02-01,868062.48002015,-0.0521961083931258,-0.00926314763428193
2009-03-01,860634.931480777,-0.0618177003037054,-0.00855646766255913
2009-04-01,852481.014537758,-0.071210998084079,-0.00947430396415494
2009-05-01,844815.811853394,-0.078942409500627,-0.00899164034582078
2009-06-01,837290.746140727,-0.0853582373413672,-0.00890734478105726
2009-07-01,830539.393486133,-0.0899280045529732,-0.00806333126899217
2009-08-01,824234.585184373,-0.0928675579385972,-0.00759122126079537
2009-09-01,818716.151494736,-0.0939262283241005,-0.00669522219624186
2009-10-01,814175.075772793,-0.093182151512584,-0.00554658133182362
2009-11-01,810348.262127562,-0.0906328876371529,-0.00470023433424138
2009-12-01,807508.942963612,-0.086524108836484,-0.00350382581989628
2010-01-01,805445.499016259,-0.0807291447166568,-0.00255532024175464
2010-02-01,804223.44680136,-0.0735419796249095,-0.0015172376236402
